time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-22T13:34:22.410Z,55.2189,164.6453,10,5.2,mb,,125,15.99,1.04,us,us2000iwag,2018-12-22T14:19:13.040Z,"85km W of Nikol'skoye, Russia",earthquake,5.8,1.9,0.043,183,reviewed,us,us
2018-12-22T13:29:47.010Z,55.1996,164.6196,10,5.5,mww,,79,4.134,1.12,us,us2000iwa7,2018-12-25T15:35:12.040Z,"87km W of Nikol'skoye, Russia",earthquake,8.3,1.8,0.056,31,reviewed,us,us
2018-12-22T05:37:37.560Z,-20.6441,32.8008,7.62,5.5,mww,,32,6.746,0.87,us,us2000iw7g,2019-01-02T13:22:43.955Z,"53km SSE of Chipinge, Zimbabwe",earthquake,8.2,4.1,0.073,18,reviewed,us,us
2018-12-21T23:12:04.590Z,-3.4936,152.0613,346.07,5,mww,,29,0.7,0.73,us,us2000iw51,2018-12-30T05:49:42.040Z,"45km WNW of Namatanai, Papua New Guinea",earthquake,9.2,4.8,0.073,18,reviewed,us,us
2018-12-21T22:24:34.050Z,-16.2254,167.8357,10,5,mb,,40,0.984,0.61,us,us2000iw48,2018-12-21T22:50:23.040Z,"46km ESE of Lakatoro, Vanuatu",earthquake,6.5,1.8,0.058,95,reviewed,us,us
2018-12-21T20:46:15.160Z,-58.0068,-25.3132,47.4,5.2,mb,,52,7.27,0.79,us,us2000iw2u,2018-12-22T18:47:22.040Z,"134km NNE of Bristol Island, South Sandwich Islands",earthquake,9.7,4.7,0.061,88,reviewed,us,us
2018-12-21T18:19:36.650Z,55.2562,164.4636,21.79,5.5,mww,,77,4.085,0.74,us,us2000iw0e,2018-12-25T15:32:36.040Z,"97km W of Nikol'skoye, Russia",earthquake,7.2,2.9,0.05,39,reviewed,us,us
2018-12-21T16:24:17.250Z,54.8211,164.7978,10,5.4,mb,,161,4.056,0.99,us,us2000ivzb,2018-12-21T17:32:30.040Z,"86km WSW of Nikol'skoye, Russia",earthquake,10.3,1.8,0.076,59,reviewed,us,us
2018-12-21T15:43:03.990Z,54.9212,164.7402,10,5,mb,,166,4.067,0.94,us,us2000ivz3,2018-12-21T17:36:33.040Z,"85km WSW of Nikol'skoye, Russia",earthquake,11.4,1.9,0.082,47,reviewed,us,us
2018-12-21T12:26:07.780Z,-5.5612,152.0641,42.41,5.2,mww,,65,1.364,0.98,us,us2000ivv1,2018-12-21T12:46:30.040Z,"135km S of Kokopo, Papua New Guinea",earthquake,6.6,5.4,0.073,18,reviewed,us,us
2018-12-21T10:43:55.170Z,-8.3285,116.774,10,5.1,mww,,41,2.597,1.12,us,us2000ivuc,2018-12-29T09:54:45.859Z,"11km ENE of Sambelia, Indonesia",earthquake,6.8,1.8,0.071,19,reviewed,us,us
2018-12-21T08:30:15.230Z,-5.3993,151.9927,10,5.7,mww,,45,1.212,0.62,us,us2000ivst,2018-12-22T08:31:50.129Z,"119km SSW of Kokopo, Papua New Guinea",earthquake,6.5,1.9,0.073,18,reviewed,us,us
2018-12-21T07:28:33.770Z,-5.6652,152.4271,10,5,mb,,157,1.487,1.05,us,us2000ivsa,2018-12-21T07:46:33.040Z,"146km S of Kokopo, Papua New Guinea",earthquake,4.9,1.9,0.092,38,reviewed,us,us
2018-12-21T06:33:52.580Z,-5.4824,151.9808,10,5.9,mww,,62,1.295,0.97,us,us2000ivs3,2018-12-22T06:35:16.211Z,"128km SSW of Kokopo, Papua New Guinea",earthquake,7.6,1.9,0.073,18,reviewed,us,us
